Index	Vertex	feature	normal		position		member	gl_Position				member_1			
76	23	1	-3025	-2761	 2512	 2287	 0.000000	-0.935539	-0.873552	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
77	28	1	-2575	-3184	 2496	 2331	 0.000000	-0.937947	-0.883735	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
78	27	1	 2038	-3552	 3133	 2306	 0.000000	-0.837477	-0.877764	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
79	26	1	-2587	 3174	 2514	 2295	 0.000000	-0.935137	-0.877238	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
80	28	1	-2575	-3184	 2496	 2331	 0.000000	-0.937947	-0.883735	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
81	27	1	 2038	-3552	 3133	 2306	 0.000000	-0.837477	-0.877764	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
82	28	1	-2575	-3184	 2496	 2331	 0.000000	-0.937947	-0.883735	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
83	29	1	-1903	-3626	 2460	 2336	 0.000000	-0.943435	-0.884772	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
84	27	1	 2038	-3552	 3133	 2306	 0.000000	-0.837477	-0.877764	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
85	29	1	-1903	-3626	 2460	 2336	 0.000000	-0.943435	-0.884772	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
86	31	1	 956	-3982	 3195	 2355	 0.000000	-0.828010	-0.889117	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
87	31	1	 956	-3982	 3195	 2355	 0.000000	-0.828010	-0.889117	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
